Timestamp;Map;Duration;Victory;KillingBlows;HonorKills;Deaths;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;PrestigeLevel;isRated;isBrawl;isMercenary
1589633938;2106;822;false;1;5;5;2409381;5709070;166;-3;1754;1850;Guardian;100;true;false;false
1589632595;761;766;true;2;25;0;4566087;3185321;593;18;1623;1721;Guardian;100;true;false;false
1589630809;727;374;true;0;11;0;358773;793106;493;11;1520;1486;Guardian;100;true;false;false
1589629180;2107;963;false;0;16;4;6088586;10979000;288;-13;1697;1477;Guardian;100;true;false;false
1589627446;1035;503;true;1;22;1;3353123;4142249;513;14;1542;1562;Guardian;100;true;false;false
1589626786;726;563;false;0;2;4;2159259;5174054;233;-1;1582;1983;Guardian;100;true;false;false
1589626063;1803;330;true;3;9;0;2339416;1549967;483;15;1417;1545;Guardian;100;true;false;true
1589624372;566;954;false;1;10;2;9378898;11067538;250;-8;1575;1612;Guardian;100;true;false;true
1589622302;2107;864;false;0;2;1;3876782;3607475;204;-1;1682;2000;Guardian;100;true;false;false
1589620807;761;799;true;0;5;0;1921938;2096760;856;18;1452;1684;Guardian;100;true;false;true
1589576013;727;613;false;0;5;6;942654;1978117;237;-10;1531;1541;Balance;100;true;false;false
1589575007;727;533;true;0;8;0;143224;277556;492;11;1468;1446;Guardian;100;true;false;false
1589573512;726;1110;false;0;23;5;5150259;11771515;318;-9;1550;1567;Guardian;100;true;false;false
1589572144;726;704;true;1;25;0;1454902;3675396;912;13;1487;1501;Guardian;100;true;false;false
1588086793;727;628;false;0;16;6;2775960;1542841;252;-16;1366;1377;Balance;98;true;false;true
1588085776;2245;822;false;0;1;1;2061182;2698260;202;-12;1424;1519;Guardian;98;true;false;false
1588004191;566;527;false;1;6;0;5405066;6343788;118;-8;1633;1624;Guardian;98;true;false;false
1588001098;2245;981;false;0;7;1;8426763;13550560;234;-10;1571;1574;Guardian;98;true;false;false
1587926470;761;715;false;0;0;3;3224484;5674400;230;-11;1491;1579;Guardian;98;true;false;false
1587924827;2106;1070;false;0;7;4;2825282;8458311;189;-10;1591;1604;Guardian;98;true;false;false
1587920473;2245;930;false;0;1;4;3977840;2391630;222;-9;1626;1660;Balance;98;true;false;true
1587836375;2245;946;false;0;2;1;3384798;4513240;233;-13;1573;1554;Guardian;98;true;false;true
1587834957;727;701;true;1;30;0;2870776;4471836;531;8;1459;1444;Guardian;98;true;false;false
1587833515;727;455;true;0;33;0;865006;1240770;521;4;1440;1299;Guardian;98;true;false;false
1587832270;726;708;false;0;14;3;3934634;8810355;251;-18;1436;1399;Guardian;98;true;false;false
1587819765;726;1208;true;0;18;3;15247083;16624147;612;8;1599;1462;Guardian;98;true;false;true
1587817904;1803;693;true;1;20;0;7881676;5681211;504;4;1604;1295;Guardian;98;true;false;true
1587815904;726;614;true;1;16;0;1745579;2210615;602;12;1552;1548;Guardian;98;true;false;false
1587814787;727;535;false;1;11;0;2889447;6831026;211;-5;1605;1786;Guardian;98;true;false;false
1587813740;2245;800;true;0;6;2;5351012;8369671;787;14;1534;1617;Guardian;98;true;false;false
1587811578;566;907;false;0;1;6;6166166;7775558;252;-11;1611;1598;Guardian;98;true;false;false
1587810394;1803;615;false;0;3;3;3978847;9977174;136;0;1627;1996;Guardian;98;true;false;false
1587754846;2107;979;true;1;20;0;12083216;9899879;511;15;1693;1640;Guardian;97;true;false;false
1587753616;2106;754;false;0;10;3;3986695;8500470;176;-6;1760;1731;Guardian;97;true;false;false
1587752380;726;1208;true;0;14;2;3161744;8534195;604;19;1720;1756;Guardian;97;true;false;false
1587750988;761;710;true;2;15;0;3923460;4600544;571;16;1626;1644;Guardian;97;true;false;false
1587749856;1035;666;true;0;36;4;3148097;1282568;831;25;1525;1437;Balance;97;true;false;false
1587666866;1035;836;true;4;25;5;4921086;6162302;515;29;1507;1500;Guardian;97;true;false;true
1587663744;761;1017;true;0;1;1;2344990;4224334;543;14;1444;1448;Guardian;97;true;false;false
1587662552;761;228;true;0;3;0;880618;1321444;846;3;1398;1109;Guardian;97;true;false;false
1587661471;2107;936;false;0;4;0;2061745;1466604;252;-13;1409;1411;Guardian;97;true;false;false
1587493784;2107;982;true;1;4;0;2394512;2662817;639;12;1510;1447;Guardian;97;true;false;true
1587491251;2107;923;true;0;14;0;3022188;3156849;663;11;1414;1412;Guardian;97;true;false;false
1587489977;761;718;false;0;1;3;1692028;2888997;292;-10;1499;1507;Guardian;97;true;false;false
1587488371;2107;899;true;2;29;1;4824890;5814152;686;11;1425;1409;Guardian;97;true;false;false
1587486543;2107;942;false;0;2;9;445300;4297893;285;-7;1468;1581;Restoration;97;true;false;false
1587484639;1803;873;false;0;7;4;3510846;7803920;294;-15;1450;1376;Guardian;97;true;false;false
1587482886;726;1128;false;0;12;5;5047912;12437939;344;-12;1453;1456;Guardian;97;true;false;false
1587481070;566;1108;true;5;11;2;4707461;9044023;1138;35;1424;1491;Guardian;96;true;false;false
1587406358;2245;945;false;0;0;1;2392285;2547271;280;-8;1584;1568;Guardian;96;true;false;true
1587403527;566;1074;true;1;19;0;11386690;10165290;655;17;1515;1556;Guardian;96;true;false;false
1587401984;2106;1207;true;0;18;1;1318712;3256525;1129;13;1425;1426;Guardian;96;true;false;true
1587400430;2245;982;false;0;14;0;2437897;2351044;319;-10;1496;1463;Guardian;96;true;false;false
1587142419;727;632;false;0;3;0;745688;2399044;285;-6;1594;1595;Guardian;96;true;false;false
1587141603;2245;911;false;0;8;3;4304135;6763478;287;-5;1655;1640;Guardian;96;true;false;false
1587140364;566;920;true;0;16;0;810613;4406026;1150;19;1614;1624;Guardian;96;true;false;false
1587039842;2106;786;false;0;12;4;1064085;2593244;227;-7;1494;1555;Guardian;96;true;false;false
1587038637;566;971;false;0;10;1;3231787;4515512;363;-7;1587;1584;Guardian;96;true;false;false
1587037489;726;445;true;0;24;0;0;69771;1180;17;1521;1548;Guardian;96;true;false;false
1586961212;727;455;false;0;1;1;726810;895670;212;-14;1355;1350;Guardian;96;true;false;true
1586889531;761;1172;false;1;19;0;7599346;12990892;357;-7;1555;1567;Guardian;95;true;false;false
1586887293;1803;661;true;0;22;1;3137434;3573650;501;17;1584;1568;Guardian;95;true;false;false
1586886406;566;506;true;0;4;0;148906;168413;895;16;1487;1524;Guardian;95;true;false;false
1586797738;726;968;false;1;23;3;418101;8259748;342;-9;1509;1495;Restoration;95;true;false;false
1586795995;2107;1019;true;0;9;3;346546;14778083;793;15;1471;1481;Restoration;95;true;false;false
1586763382;727;492;false;0;0;2;1464788;2025782;150;-8;1472;1505;Guardian;95;true;false;false
1586726206;727;633;false;1;17;2;5634396;5241816;270;-15;1373;1326;Guardian;95;true;false;true
1586724003;1035;804;false;1;32;5;5848636;7506855;305;-11;1406;1440;Guardian;95;true;false;false
1586723015;2107;781;true;0;2;1;2708331;4675655;476;8;1267;1294;Guardian;95;true;false;false
1586721433;726;539;false;0;1;3;2962309;5884254;227;-13;1285;1384;Guardian;95;true;false;false
1586720398;1035;649;false;0;26;2;3708876;4633718;240;-14;1338;1370;Guardian;95;true;false;false
1586697605;726;1208;true;2;22;1;7018522;15677753;620;11;1346;1401;Guardian;95;true;false;false
1586695580;2107;929;true;0;23;0;3481874;3864229;822;4;1297;1168;Guardian;95;true;false;false
1586694265;566;632;false;1;2;2;2562698;5028608;166;-13;1341;1402;Guardian;95;true;false;false
1586692577;2106;1207;false;1;26;1;8925894;17138282;317;-14;1460;1403;Guardian;95;true;false;false
1586619930;726;499;false;0;3;3;1479076;4194067;230;-8;1541;1591;Guardian;95;true;false;false
1586545133;566;1001;false;0;26;1;655981;14707392;344;-12;1507;1481;Restoration;94;true;false;false
1586543125;761;773;true;0;17;3;692387;7714133;577;13;1438;1482;Restoration;94;true;false;false
1586541955;1803;836;false;0;7;7;309966;4551962;184;-9;1475;1563;Restoration;94;true;false;false
1586538204;727;700;false;0;7;4;304944;11865588;262;-10;1482;1534;Restoration;94;true;false;false
1586536855;726;1208;true;0;39;0;791856;8226783;659;9;1434;1366;Restoration;94;true;false;false
1586535484;727;642;true;0;8;0;468154;11584032;798;9;1372;1362;Restoration;94;true;false;false
1586534063;1803;755;false;0;8;4;788834;6910946;202;-15;1408;1392;Restoration;94;true;false;false
1586470340;727;429;false;1;4;0;2486706;3931154;163;-7;1479;1651;Guardian;94;true;false;true
1586468796;566;751;true;0;10;0;424762;737743;507;6;1442;1277;Guardian;94;true;false;false
1586466030;2106;1207;false;1;11;5;8941339;16455944;218;-13;1363;1462;Guardian;94;true;false;false
1586463503;2107;1009;false;1;2;0;4693650;4965658;251;-14;1441;1445;Guardian;94;true;false;false
1586462179;726;480;false;1;6;3;1838514;5074238;226;-12;1519;1512;Guardian;94;true;false;false
1586450934;761;629;false;0;4;0;3072831;4604938;218;-6;1760;1712;Guardian;94;true;false;false
1586449659;761;973;true;0;7;2;10023135;14592536;551;16;1663;1638;Guardian;94;true;false;false
1586448166;2107;1081;true;0;14;2;4353988;6752072;503;14;1554;1540;Guardian;94;true;false;false
1586446607;761;606;true;2;19;0;4905528;6878409;870;10;1449;1419;Guardian;94;true;false;false
1586364643;1803;1003;false;2;20;3;5245469;11047586;282;-13;1475;1477;Guardian;94;true;false;false
1586362701;727;492;false;0;0;4;32375;5651261;170;-7;1620;1673;Restoration;94;true;false;false
1586361878;1035;773;true;0;38;2;1248428;8539448;538;15;1537;1565;Restoration;94;true;false;false
1586360503;2107;823;true;0;9;0;420894;7251570;789;9;1469;1374;Restoration;94;true;false;false
1586279792;726;841;true;0;5;2;2043139;3099733;594;10;1401;1413;Guardian;93;true;false;false
1586278719;2245;917;true;0;13;0;5923712;6403816;503;6;1341;1251;Guardian;93;true;false;false
1586277232;2106;1099;false;0;12;4;3818276;10590035;210;-16;1326;1364;Guardian;93;true;false;false
1586275842;1035;471;false;1;7;3;2499642;3461558;154;-13;1427;1453;Guardian;93;true;false;true
1586274874;727;426;true;0;21;0;1137422;1310313;508;8;1330;1352;Guardian;93;true;false;false
1586273374;727;697;false;1;11;1;2827808;5842210;278;-14;1346;1433;Guardian;93;true;false;false
1586272208;727;681;false;0;14;0;4017743;6076104;271;-12;1415;1516;Guardian;93;true;false;false
1586271358;726;744;true;1;20;1;1458808;4207370;921;8;1301;1371;Guardian;93;true;false;false
1586270130;2245;921;false;0;0;4;4568328;8446794;220;-16;1390;1401;Guardian;93;true;false;false
1586095265;2245;1038;true;0;0;0;0;1807;470;52;1791;1678;Guardian;93;true;false;false
1586094068;726;1114;true;1;36;2;2925375;9041399;667;18;1660;1620;Guardian;93;true;false;true
1586092529;566;277;true;0;17;0;598564;1044992;549;16;1542;1536;Guardian;93;true;false;false
1586092093;726;843;true;0;26;1;2391446;6488293;917;10;1416;1373;Guardian;93;true;false;false
1585945051;1803;1209;false;0;2;3;9759580;16035581;193;-11;1489;1461;Guardian;93;true;false;false
1585943224;726;1189;true;1;13;2;5115497;12685552;640;13;1355;1468;Guardian;93;true;false;false
1585941486;726;1208;false;0;9;3;4962956;9581522;338;-13;1448;1416;Guardian;93;true;false;true
1585938775;726;1208;true;1;26;3;4301988;8071108;593;9;1395;1338;Guardian;93;true;false;false
1585936317;761;704;false;0;0;2;3753120;4316218;240;-8;1517;1567;Guardian;92;true;false;false
1585935435;726;988;true;1;15;1;1820451;5622594;634;11;1434;1395;Guardian;92;true;false;false
1585918959;1035;543;false;2;10;4;4524463;4318118;207;-9;1475;1529;Guardian;92;true;false;false
1585918136;1803;571;true;2;28;0;3718402;5740022;516;11;1437;1396;Guardian;92;true;false;false
1585916785;726;815;true;0;13;1;2178595;6994908;905;9;1345;1327;Guardian;92;true;false;false
1585915411;2107;995;false;0;13;1;5880372;6563806;290;-13;1395;1389;Guardian;92;true;false;false
1585761065;726;1207;false;0;7;3;1636902;5820568;335;-13;1429;1418;Guardian;92;true;false;false
1585759549;2107;930;false;0;1;0;168157;584064;232;-9;1490;1527;Guardian;92;true;false;false
1585592196;2107;898;false;1;10;3;6997516;13457051;230;-10;1484;1527;Guardian;92;true;false;false
1585591117;727;493;true;0;8;1;3759382;5840394;496;11;1427;1418;Guardian;92;true;false;false
